畫蛇添足,對牛彈琴,一石二鳥,井底之蛙,守株待兔,掩耳盜鈴,狐假虎威,盲人摸象,杯弓蛇影,刻舟求劍
雞飛狗跳,狼吞虎嚥,龍飛鳳舞,鶴立雞群,雞同鴨講,狗急跳牆,打草驚蛇,殺雞儆猴,如魚得水,沉魚落雁
三頭六臂,七上八下,五花大綁,一刀兩斷,三心二意,四面楚歌,五體投地,六神無主,七嘴八舌,九牛一毛
十全十美,一箭雙鵰,力大無窮,口是心非,大吃一驚,小心翼翼,手忙腳亂,目不轉睛,自言自語,花言巧語
走馬看花,垂頭喪氣,眉開眼笑,氣急敗壞,喜出望外,提心吊膽,無精打采,興高采烈,鴉雀無聲,膽小如鼠
一毛不拔,一步登天,一字千金,一日三秋,一見鍾情,一言九鼎,一竅不通,一觸即發,入木三分,三長兩短
千方百計,千鈞一髮,大言不慚,小鳥依人,不可思議,不自量力,不勞而獲,五光十色,六親不認,天方夜譚
天衣無縫,天花亂墜,引人入勝,心直口快,心花怒放,手舞足蹈,毛遂自薦,水落石出,世外桃源,半途而廢
生龍活虎,出爾反爾,四海為家,左右逢源,平步青雲,本末倒置,民不聊生,瓜田李下,光明正大,同舟共濟
名落孫山,多此一舉,守口如瓶,安居樂業,有求必應,有眼不識泰山,百發百中,老馬識途,耳濡目染,自相矛盾
自投羅網,兵荒馬亂,判若兩人,完美無缺,見異思遷,言行一致,車水馬龍,防不勝防,雨後春筍,青梅竹馬
空中樓閣,金蟬脫殼,長驅直入,雨過天晴,信口開河,前功盡棄,南轅北轍,咬文嚼字,垂涎三尺,怒髮衝冠
指鹿為馬,挑撥離間,按部就班,既往不咎,星火燎原,流連忘返,狡兔三窟,面紅耳赤,風吹草動,飛蛾撲火
食言而肥,倒吃甘蔗,借刀殺人,家喻戶曉,旁敲側擊,班門弄斧,袖手旁觀,紙上談兵,草木皆兵,馬耳東風
高枕無憂,鬼斧神工,望梅止渴,異想天開,移花接木,脫穎而出,掩人耳目,朝三暮四,畫龍點睛,短兵相接
視若無睹,開門見山,順水推舟,微不足道,想入非非,愛不釋手,滄海一粟,義不容辭,落井下石,語無倫次
摩拳擦掌,撥雲見日,緣木求魚,曇花一現,燃眉之急,獨樹一幟,錦上添花,龍騰虎躍,趨炎附勢,雙管齊下
雞鳴狗盜,鵬程萬里,鷸蚌相爭,變本加厲,驚弓之鳥,虎頭蛇尾,東施效顰,因噎廢食,囫圇吞棗,夜郎自大
奇貨可居,臥薪嘗膽,破釜沉舟,退避三舍,紙包不住火,此地無銀三百兩,五十步笑百步,三個臭皮匠,勝過一個諸葛亮
司馬昭之心,路人皆知,不入虎穴焉得虎子,人不可貌相,海水不可斗量,一言既出駟馬難追,掛羊頭賣狗肉
偷雞不著蝕把米,狗嘴吐不出象牙,癩蛤蟆想吃天鵝肉,薑是老的辣,路遙知馬力,日久見人心
一寸光陰一寸金,只要功夫深鐵杵磨成針,初生之犢不畏虎,百聞不如一見,遠親不如近鄰,積少成多,聚沙成塔
鐵石心腸,心猿意馬,呆若木雞,對症下藥,囫圇吞棗,杞人憂天,愚公移山,精衛填海,夸父追日
女媧補天,后羿射日,嫦娥奔月,吳剛伐桂,牛郎織女,孟母三遷,孔融讓梨,聞雞起舞,懸梁刺股,鑿壁偷光
程門立雪,負荊請罪,完璧歸趙,指桑罵槐,笑裡藏刀,順手牽羊,趁火打劫,聲東擊西,無中生有,暗度陳倉
隔岸觀火,李代桃僵,拋磚引玉,擒賊先擒王,釜底抽薪,混水摸魚,金蟬脫殼,關門捉賊,遠交近攻,假道伐虢
反客為主,美人計,空城計,反間計,苦肉計,連環計,走為上策,騎驢找馬,順藤摸瓜,水滴石穿
後來居上,青出於藍,馬馬虎虎,唯唯諾諾,滔滔不絕,津津有味,斤斤計較,比比皆是,歷歷在目,洋洋得意
蠢蠢欲動,格格不入,息息相關,亭亭玉立,欣欣向榮,蒸蒸日上,面面俱到,頭頭是道,步步為營,心心相印
